Temperature (K),Mass,Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,,name
,,,,,,,,,K2-91 b
,,,,,,,,,K2-95 b
,,,,,,,,,K2-97 b
,,,,,,,,,K2-98 b
,,,,,,,,,K2-99 b
,,,,,,,,,K2-9 b
,,,,,,,,,Kappa Andromedae b
,,,,,,,,,Kappa Coronae Borealis b
,,,,,,,,,Kapteyn c
,,,,,,,,,KELT-10 b
,,,,,,,,,KELT-11 b
,,,,,,,,,KELT-12 b
,,,,,,,,,KELT-14 b
,,,,,,,,,KELT-15 b
,,,,,,,,,KELT-16 b
,,,,,,,,,KELT-17 b
,,,,,,,,,KELT-18 b
,,,,,,,,,KELT-19 A b
,,,,,,,,,KELT-1 b
,,,,,,,,,KELT-20 b
,,,,,,,,,KELT-21 b
,,,,,,,,,KELT-23 A b
,,,,,,,,,KELT-24 b
,,,,,,,,,KELT-2 A b
,,,,,,,,,KELT-3 b
,,,,,,,,,KELT-4 A b
,,,,,,,,,KELT-6 b
,,,,,,,,,KELT-6 c
,,,,,,,,,KELT-7 b
,,,,,,,,,KELT-8 b
,,,,,,,,,KELT-9 b
,,,,,,,,,Kepler-1000 b
,,,,,,,,,Kepler-1001 b
,,,,,,,,,Kepler-1001 c
,,,,,,,,,Kepler-1002 b
,,,,,,,,,Kepler-1003 b
,,,,,,,,,Kepler-1004 b
,,,,,,,,,Kepler-1005 b
,,,,,,,,,Kepler-1006 b
,,,,,,,,,Kepler-1007 b
,,,,,,,,,Kepler-1008 b
,,,,,,,,,Kepler-1009 b
,,,,,,,,,Kepler-100 b
,,,,,,,,,Kepler-100 c
,,,,,,,,,Kepler-100 d
,,,,,,,,,Kepler-1010 b
,,,,,,,,,Kepler-1011 b
,,,,,,,,,Kepler-1012 b
,,,,,,,,,Kepler-1013 b
,,,,,,,,,Kepler-1014 b
,,,,,,,,,Kepler-1015 b
,,,,,,,,,Kepler-1016 b
,,,,,,,,,Kepler-1016 c
,,,,,,,,,Kepler-1017 b
,,,,,,,,,Kepler-1018 b
,,,,,,,,,Kepler-1019 b
,,,,,,,,,Kepler-101 b
,,,,,,,,,Kepler-101 c
,,,,,,,,,Kepler-1020 b
,,,,,,,,,Kepler-1021 b
,,,,,,,,,Kepler-1022 b
,,,,,,,,,Kepler-1023 b
,,,,,,,,,Kepler-1024 b
,,,,,,,,,Kepler-1025 b
,,,,,,,,,Kepler-1026 b
,,,,,,,,,Kepler-1027 b
,,,,,,,,,Kepler-1028 b
,,,,,,,,,Kepler-1029 b
,,,,,,,,,Kepler-102 b
,,,,,,,,,Kepler-102 c
,,,,,,,,,Kepler-102 d
,,,,,,,,,Kepler-102 e
,,,,,,,,,Kepler-102 f
,,,,,,,,,Kepler-1030 b
,,,,,,,,,Kepler-1031 b
,,,,,,,,,Kepler-1032 b
,,,,,,,,,Kepler-1033 b
,,,,,,,,,Kepler-1034 b
,,,,,,,,,Kepler-1035 b
,,,,,,,,,Kepler-1036 b
,,,,,,,,,Kepler-1037 b
,,,,,,,,,Kepler-1038 b
,,,,,,,,,Kepler-1039 b
,,,,,,,,,Kepler-103 b
,,,,,,,,,Kepler-103 c
,,,,,,,,,Kepler-1040 b
,,,,,,,,,Kepler-1041 b
,,,,,,,,,Kepler-1042 b
,,,,,,,,,Kepler-1043 b
,,,,,,,,,Kepler-1044 b
,,,,,,,,,Kepler-1045 b
,,,,,,,,,Kepler-1046 b
,,,,,,,,,Kepler-1047 b
,,,,,,,,,Kepler-1047 c
,,,,,,,,,Kepler-1048 b
,,,,,,,,,Kepler-1049 b
,,,,,,,,,Kepler-104 b
,,,,,,,,,Kepler-104 c
,,,,,,,,,Kepler-104 d
,,,,,,,,,Kepler-1050 b
,,,,,,,,,Kepler-1050 c
,,,,,,,,,Kepler-1051 b
,,,,,,,,,Kepler-1052 b
,,,,,,,,,Kepler-1053 b
,,,,,,,,,Kepler-1054 b
,,,,,,,,,Kepler-1055 b
,,,,,,,,,Kepler-1056 b
,,,,,,,,,Kepler-1057 b
,,,,,,,,,Kepler-1058 b
,,,,,,,,,Kepler-1059 b
,,,,,,,,,Kepler-105 b
,,,,,,,,,Kepler-105 c
,,,,,,,,,Kepler-1060 b
,,,,,,,,,Kepler-1061 b
,,,,,,,,,Kepler-1062 b
,,,,,,,,,Kepler-1063 b
,,,,,,,,,Kepler-1064 b
,,,,,,,,,Kepler-1065 b
,,,,,,,,,Kepler-1065 c
,,,,,,,,,Kepler-1066 b
,,,,,,,,,Kepler-1067 b
,,,,,,,,,Kepler-1068 b
,,,,,,,,,Kepler-1069 b
,,,,,,,,,Kepler-106 b
,,,,,,,,,Kepler-106 c
,,,,,,,,,Kepler-106 d
,,,,,,,,,Kepler-106 e
,,,,,,,,,Kepler-1070 b
,,,,,,,,,Kepler-1071 b
,,,,,,,,,Kepler-1072 b
,,,,,,,,,Kepler-1073 b
,,,,,,,,,Kepler-1073 c
,,,,,,,,,Kepler-1074 b
,,,,,,,,,Kepler-1075 b
,,,,,,,,,Kepler-1076 b
,,,,,,,,,Kepler-1077 b
,,,,,,,,,Kepler-1078 b
,,,,,,,,,Kepler-1079 b
,,,,,,,,,Kepler-107 b
,,,,,,,,,Kepler-107 c
,,,,,,,,,Kepler-107 d
,,,,,,,,,Kepler-107 e
,,,,,,,,,Kepler-1080 b
,,,,,,,,,Kepler-1081 b
,,,,,,,,,Kepler-1082 b
,,,,,,,,,Kepler-1083 b
,,,,,,,,,Kepler-1084 b
,,,,,,,,,Kepler-1085 b
,,,,,,,,,Kepler-1085 c
,,,,,,,,,Kepler-1086 b
,,,,,,,,,Kepler-1086 c
,,,,,,,,,Kepler-1087 b
,,,,,,,,,Kepler-1088 b
,,,,,,,,,Kepler-1089 b
,,,,,,,,,Kepler-108 b
,,,,,,,,,Kepler-108 c
,,,,,,,,,Kepler-1090 b
,,,,,,,,,Kepler-1091 b
,,,,,,,,,Kepler-1092 b
,,,,,,,,,Kepler-1093 b
,,,,,,,,,Kepler-1093 c
,,,,,,,,,Kepler-1094 b
,,,,,,,,,Kepler-1095 b
,,,,,,,,,Kepler-1096 b
,,,,,,,,,Kepler-1097 b
,,,,,,,,,Kepler-1098 b
,,,,,,,,,Kepler-1099 b
,,,,,,,,,Kepler-109 b
,,,,,,,,,Kepler-109 c
,,,,,,,,,Kepler-10 b
,,,,,,,,,Kepler-10 c
,,,,,,,,,Kepler-1100 b
,,,,,,,,,Kepler-1101 b
,,,,,,,,,Kepler-1102 b
,,,,,,,,,Kepler-1103 b
,,,,,,,,,Kepler-1104 b
,,,,,,,,,Kepler-1105 b
,,,,,,,,,Kepler-1106 b
,,,,,,,,,Kepler-1107 b
,,,,,,,,,Kepler-1108 b
,,,,,,,,,Kepler-1109 b
,,,,,,,,,Kepler-110 b
,,,,,,,,,Kepler-110 c
,,,,,,,,,Kepler-1110 b
,,,,,,,,,Kepler-1111 b
,,,,,,,,,Kepler-1112 b
,,,,,,,,,Kepler-1113 b
,,,,,,,,,Kepler-1114 b
,,,,,,,,,Kepler-1115 b
,,,,,,,,,Kepler-1116 b
,,,,,,,,,Kepler-1117 b
,,,,,,,,,Kepler-1118 b
,,,,,,,,,Kepler-1119 b
,,,,,,,,,Kepler-111 b
,,,,,,,,,Kepler-111 c
,,,,,,,,,Kepler-1120 b
,,,,,,,,,Kepler-1121 b
,,,,,,,,,Kepler-1122 b
,,,,,,,,,Kepler-1123 b
,,,,,,,,,Kepler-1124 b
,,,,,,,,,Kepler-1125 b
,,,,,,,,,Kepler-1126 b
,,,,,,,,,Kepler-1127 b
,,,,,,,,,Kepler-1128 b
,,,,,,,,,Kepler-1129 b
,,,,,,,,,Kepler-1129 c
,,,,,,,,,Kepler-112 b
,,,,,,,,,Kepler-112 c
,,,,,,,,,Kepler-1130 b
,,,,,,,,,Kepler-1131 b
,,,,,,,,,Kepler-1132 b
,,,,,,,,,Kepler-1133 b
,,,,,,,,,Kepler-1134 b
,,,,,,,,,Kepler-1135 b
,,,,,,,,,Kepler-1136 b
,,,,,,,,,Kepler-1137 b
,,,,,,,,,Kepler-1138 b
,,,,,,,,,Kepler-1139 b
,,,,,,,,,Kepler-113 b
,,,,,,,,,Kepler-113 c
,,,,,,,,,Kepler-1140 b
,,,,,,,,,Kepler-1141 b
,,,,,,,,,Kepler-1142 b
,,,,,,,,,Kepler-1143 b
,,,,,,,,,Kepler-1143 c
,,,,,,,,,Kepler-1144 b
,,,,,,,,,Kepler-1145 b
,,,,,,,,,Kepler-1146 b
,,,,,,,,,Kepler-1147 b
,,,,,,,,,Kepler-1148 b
,,,,,,,,,Kepler-1149 b
,,,,,,,,,Kepler-114 b
,,,,,,,,,Kepler-114 c
,,,,,,,,,Kepler-114 d
,,,,,,,,,Kepler-1150 b
,,,,,,,,,Kepler-1151 b
,,,,,,,,,Kepler-1152 b
,,,,,,,,,Kepler-1153 b
,,,,,,,,,Kepler-1154 b
,,,,,,,,,Kepler-1154 c
,,,,,,,,,Kepler-1155 b
,,,,,,,,,Kepler-1156 b
,,,,,,,,,Kepler-1157 b
,,,,,,,,,Kepler-1158 b
,,,,,,,,,Kepler-1159 b
,,,,,,,,,Kepler-115 b
,,,,,,,,,Kepler-115 c
,,,,,,,,,Kepler-1160 b
,,,,,,,,,Kepler-1161 b
,,,,,,,,,Kepler-1162 b
,,,,,,,,,Kepler-1163 b
,,,,,,,,,Kepler-1164 b
,,,,,,,,,Kepler-1165 b
,,,,,,,,,Kepler-1166 b
,,,,,,,,,Kepler-1167 b
,,,,,,,,,Kepler-1168 b
,,,,,,,,,Kepler-1169 b
,,,,,,,,,Kepler-116 b
,,,,,,,,,Kepler-116 c
,,,,,,,,,Kepler-1170 b
,,,,,,,,,Kepler-1171 b
,,,,,,,,,Kepler-1172 b
,,,,,,,,,Kepler-1173 b
,,,,,,,,,Kepler-1174 b
,,,,,,,,,Kepler-1175 b
,,,,,,,,,Kepler-1176 b
,,,,,,,,,Kepler-1177 b
,,,,,,,,,Kepler-1178 b
,,,,,,,,,Kepler-1179 b
,,,,,,,,,Kepler-117 b
,,,,,,,,,Kepler-117 c
,,,,,,,,,Kepler-1180 b
,,,,,,,,,Kepler-1181 b
,,,,,,,,,Kepler-1182 b
,,,,,,,,,Kepler-1183 b
,,,,,,,,,Kepler-1184 b
,,,,,,,,,Kepler-1185 b
,,,,,,,,,Kepler-1186 b
,,,,,,,,,Kepler-1187 b
,,,,,,,,,Kepler-1188 b
,,,,,,,,,Kepler-1189 b
,,,,,,,,,Kepler-118 b
,,,,,,,,,Kepler-118 c
,,,,,,,,,Kepler-1190 b
,,,,,,,,,Kepler-1191 b
,,,,,,,,,Kepler-1192 b
,,,,,,,,,Kepler-1193 b
,,,,,,,,,Kepler-1194 b
,,,,,,,,,Kepler-1195 b
,,,,,,,,,Kepler-1196 b
,,,,,,,,,Kepler-1197 b
,,,,,,,,,Kepler-1198 b
,,,,,,,,,Kepler-1199 b
,,,,,,,,,Kepler-119 b
,,,,,,,,,Kepler-119 c
,,,,,,,,,Kepler-11 b
,,,,,,,,,Kepler-11 c
,,,,,,,,,Kepler-11 d
,,,,,,,,,Kepler-11 e
,,,,,,,,,Kepler-11 f
,,,,,,,,,Kepler-11 g
,,,,,,,,,Kepler-1200 b
,,,,,,,,,Kepler-1201 b
,,,,,,,,,Kepler-1202 b
,,,,,,,,,Kepler-1203 b
,,,,,,,,,Kepler-1204 b
,,,,,,,,,Kepler-1205 b
,,,,,,,,,Kepler-1206 b
,,,,,,,,,Kepler-1207 b
,,,,,,,,,Kepler-1208 b
,,,,,,,,,Kepler-1209 b
,,,,,,,,,Kepler-120 b
,,,,,,,,,Kepler-120 c
,,,,,,,,,Kepler-1210 b
,,,,,,,,,Kepler-1211 b
,,,,,,,,,Kepler-1212 b
,,,,,,,,,Kepler-1213 b
,,,,,,,,,Kepler-1214 b
,,,,,,,,,Kepler-1215 b
,,,,,,,,,Kepler-1216 b
,,,,,,,,,Kepler-1217 b
,,,,,,,,,Kepler-1218 b
,,,,,,,,,Kepler-1219 b
,,,,,,,,,Kepler-121 b
,,,,,,,,,Kepler-121 c
,,,,,,,,,Kepler-1220 b
,,,,,,,,,Kepler-1221 b
,,,,,,,,,Kepler-1222 b
,,,,,,,,,Kepler-1223 b
,,,,,,,,,Kepler-1224 b
,,,,,,,,,Kepler-1225 b
,,,,,,,,,Kepler-1226 b
,,,,,,,,,Kepler-1227 b
,,,,,,,,,Kepler-1228 b
,,,,,,,,,Kepler-1229 b
,,,,,,,,,Kepler-122 b
,,,,,,,,,Kepler-122 c
,,,,,,,,,Kepler-122 d
,,,,,,,,,Kepler-122 e
,,,,,,,,,Kepler-122 f
,,,,,,,,,Kepler-1230 b
,,,,,,,,,Kepler-1231 b
,,,,,,,,,Kepler-1232 b
,,,,,,,,,Kepler-1233 b
,,,,,,,,,Kepler-1234 b
,,,,,,,,,Kepler-1235 b
,,,,,,,,,Kepler-1236 b
,,,,,,,,,Kepler-1237 b
,,,,,,,,,Kepler-1238 b
,,,,,,,,,Kepler-1239 b
,,,,,,,,,Kepler-123 b
,,,,,,,,,Kepler-123 c
,,,,,,,,,Kepler-1240 b
,,,,,,,,,Kepler-1241 b
,,,,,,,,,Kepler-1242 b
,,,,,,,,,Kepler-1243 b
,,,,,,,,,Kepler-1244 b
,,,,,,,,,Kepler-1245 b
,,,,,,,,,Kepler-1245 c
,,,,,,,,,Kepler-1246 b
,,,,,,,,,Kepler-1247 b
,,,,,,,,,Kepler-1248 b
,,,,,,,,,Kepler-1249 b
,,,,,,,,,Kepler-124 b
,,,,,,,,,Kepler-124 c
,,,,,,,,,Kepler-124 d
,,,,,,,,,Kepler-1250 b
,,,,,,,,,Kepler-1251 b
,,,,,,,,,Kepler-1252 b
,,,,,,,,,Kepler-1253 b
,,,,,,,,,Kepler-1254 b
,,,,,,,,,Kepler-1254 c
,,,,,,,,,Kepler-1254 d
,,,,,,,,,Kepler-1255 b
,,,,,,,,,Kepler-1256 b
,,,,,,,,,Kepler-1257 b
,,,,,,,,,Kepler-1258 b
,,,,,,,,,Kepler-1259 b
,,,,,,,,,Kepler-125 b
,,,,,,,,,Kepler-125 c
,,,,,,,,,Kepler-1260 b
,,,,,,,,,Kepler-1261 b
,,,,,,,,,Kepler-1262 b
,,,,,,,,,Kepler-1263 b
,,,,,,,,,Kepler-1264 b
,,,,,,,,,Kepler-1265 b
,,,,,,,,,Kepler-1266 b
,,,,,,,,,Kepler-1267 b
,,,,,,,,,Kepler-1268 b
,,,,,,,,,Kepler-1269 b
,,,,,,,,,Kepler-126 b
,,,,,,,,,Kepler-126 c
,,,,,,,,,Kepler-126 d
,,,,,,,,,Kepler-1270 b
,,,,,,,,,Kepler-1271 b
,,,,,,,,,Kepler-1272 b
,,,,,,,,,Kepler-1273 b
,,,,,,,,,Kepler-1274 b
,,,,,,,,,Kepler-1275 b
,,,,,,,,,Kepler-1276 b
,,,,,,,,,Kepler-1277 b
,,,,,,,,,Kepler-1278 b
,,,,,,,,,Kepler-1279 b
,,,,,,,,,Kepler-127 b
,,,,,,,,,Kepler-127 c
,,,,,,,,,Kepler-127 d
,,,,,,,,,Kepler-1280 b
,,,,,,,,,Kepler-1281 b
,,,,,,,,,Kepler-1282 b
,,,,,,,,,Kepler-1283 b
,,,,,,,,,Kepler-1284 b
,,,,,,,,,Kepler-1285 b
,,,,,,,,,Kepler-1286 b
,,,,,,,,,Kepler-1287 b
,,,,,,,,,Kepler-1288 b
,,,,,,,,,Kepler-1289 b
,,,,,,,,,Kepler-128 b
,,,,,,,,,Kepler-128 c
,,,,,,,,,Kepler-1290 b
,,,,,,,,,Kepler-1291 b
,,,,,,,,,Kepler-1292 b
,,,,,,,,,Kepler-1293 b
,,,,,,,,,Kepler-1294 b
,,,,,,,,,Kepler-1295 b
,,,,,,,,,Kepler-1296 b
,,,,,,,,,Kepler-1297 b
,,,,,,,,,Kepler-1298 b
,,,,,,,,,Kepler-1299 b
,,,,,,,,,Kepler-129 b
,,,,,,,,,Kepler-129 c
,,,,,,,,,Kepler-12 b
,,,,,,,,,Kepler-1300 b
,,,,,,,,,Kepler-1301 b
,,,,,,,,,Kepler-1302 b
,,,,,,,,,Kepler-1303 b
,,,,,,,,,Kepler-1304 b
,,,,,,,,,Kepler-1305 b
,,,,,,,,,Kepler-1306 b
,,,,,,,,,Kepler-1307 b
,,,,,,,,,Kepler-1308 b
,,,,,,,,,Kepler-1309 b
,,,,,,,,,Kepler-130 b
,,,,,,,,,Kepler-130 c
,,,,,,,,,Kepler-130 d
,,,,,,,,,Kepler-1310 b
,,,,,,,,,Kepler-1311 b
,,,,,,,,,Kepler-1311 c
,,,,,,,,,Kepler-1312 b
,,,,,,,,,Kepler-1313 b
,,,,,,,,,Kepler-1314 b
,,,,,,,,,Kepler-1315 b
,,,,,,,,,Kepler-1316 b
,,,,,,,,,Kepler-1317 b
,,,,,,,,,Kepler-1318 b
,,,,,,,,,Kepler-1319 b
,,,,,,,,,Kepler-131 b
,,,,,,,,,Kepler-131 c
,,,,,,,,,Kepler-1320 b
,,,,,,,,,Kepler-1321 b
,,,,,,,,,Kepler-1321 c
,,,,,,,,,Kepler-1322 b
,,,,,,,,,Kepler-1323 b
,,,,,,,,,Kepler-1324 b
,,,,,,,,,Kepler-1325 b
,,,,,,,,,Kepler-1326 b
,,,,,,,,,Kepler-1327 b
,,,,,,,,,Kepler-1328 b
,,,,,,,,,Kepler-1329 b
,,,,,,,,,Kepler-132 b
,,,,,,,,,Kepler-132 c
,,,,,,,,,Kepler-132 d
,,,,,,,,,Kepler-132 e
,,,,,,,,,Kepler-1330 b
,,,,,,,,,Kepler-1331 b
,,,,,,,,,Kepler-1332 b
,,,,,,,,,Kepler-1333 b
,,,,,,,,,Kepler-1334 b
,,,,,,,,,Kepler-1335 b
,,,,,,,,,Kepler-1336 b
,,,,,,,,,Kepler-1336 c
,,,,,,,,,Kepler-1337 b
,,,,,,,,,Kepler-1338 b
,,,,,,,,,Kepler-1339 b
,,,,,,,,,Kepler-133 b
,,,,,,,,,Kepler-133 c
,,,,,,,,,Kepler-1340 b
,,,,,,,,,Kepler-1341 b
,,,,,,,,,Kepler-1342 b
,,,,,,,,,Kepler-1343 b
,,,,,,,,,Kepler-1344 b
,,,,,,,,,Kepler-1345 b
,,,,,,,,,Kepler-1346 b
,,,,,,,,,Kepler-1347 b
,,,,,,,,,Kepler-1348 b
,,,,,,,,,Kepler-1349 b
,,,,,,,,,Kepler-134 b
,,,,,,,,,Kepler-134 c
,,,,,,,,,Kepler-1350 b
,,,,,,,,,Kepler-1350 c
,,,,,,,,,Kepler-1351 b
,,,,,,,,,Kepler-1352 b
,,,,,,,,,Kepler-1353 b
,,,,,,,,,Kepler-1354 b
,,,,,,,,,Kepler-1355 b
,,,,,,,,,Kepler-1356 b
,,,,,,,,,Kepler-1357 b
,,,,,,,,,Kepler-1358 b
,,,,,,,,,Kepler-1359 b
,,,,,,,,,Kepler-135 b
,,,,,,,,,Kepler-135 c
,,,,,,,,,Kepler-1360 b
,,,,,,,,,Kepler-1361 b
,,,,,,,,,Kepler-1362 b
,,,,,,,,,Kepler-1363 b
,,,,,,,,,Kepler-1364 b
,,,,,,,,,Kepler-1365 b
,,,,,,,,,Kepler-1365 c
,,,,,,,,,Kepler-1366 b
,,,,,,,,,Kepler-1367 b
,,,,,,,,,Kepler-1368 b
,,,,,,,,,Kepler-1369 b
,,,,,,,,,Kepler-136 b
,,,,,,,,,Kepler-136 c
,,,,,,,,,Kepler-1370 b
,,,,,,,,,Kepler-1370 c
,,,,,,,,,Kepler-1371 b
,,,,,,,,,Kepler-1371 c
,,,,,,,,,Kepler-1372 b
,,,,,,,,,Kepler-1373 b
,,,,,,,,,Kepler-1374 b
,,,,,,,,,Kepler-1375 b
,,,,,,,,,Kepler-1376 b
,,,,,,,,,Kepler-1377 b
,,,,,,,,,Kepler-1378 b
,,,,,,,,,Kepler-1379 b
,,,,,,,,,Kepler-137 b
,,,,,,,,,Kepler-137 c
,,,,,,,,,Kepler-1380 b
,,,,,,,,,Kepler-1381 b
,,,,,,,,,Kepler-1382 b
,,,,,,,,,Kepler-1383 b
,,,,,,,,,Kepler-1384 b
,,,,,,,,,Kepler-1385 b
,,,,,,,,,Kepler-1386 b
,,,,,,,,,Kepler-1387 b
,,,,,,,,,Kepler-1388 b
,,,,,,,,,Kepler-1388 c
,,,,,,,,,Kepler-1388 d
,,,,,,,,,Kepler-1388 e
,,,,,,,,,Kepler-1389 b
,,,,,,,,,Kepler-138 b
,,,,,,,,,Kepler-138 c
,,,,,,,,,Kepler-138 d
,,,,,,,,,Kepler-1390 b
,,,,,,,,,Kepler-1391 b
,,,,,,,,,Kepler-1392 b
,,,,,,,,,Kepler-1393 b
,,,,,,,,,Kepler-1394 b
,,,,,,,,,Kepler-1395 b
,,,,,,,,,Kepler-1396 b
,,,,,,,,,Kepler-1397 b
,,,,,,,,,Kepler-1398 b
,,,,,,,,,Kepler-1398 c
,,,,,,,,,Kepler-1399 b
,,,,,,,,,Kepler-139 b
,,,,,,,,,Kepler-139 c
,,,,,,,,,Kepler-1400 b
,,,,,,,,,Kepler-1401 b
,,,,,,,,,Kepler-1402 b
,,,,,,,,,Kepler-1403 b
,,,,,,,,,Kepler-1404 b
,,,,,,,,,Kepler-1405 b
,,,,,,,,,Kepler-1406 b
,,,,,,,,,Kepler-1407 b
,,,,,,,,,Kepler-1408 b
,,,,,,,,,Kepler-1409 b
,,,,,,,,,Kepler-140 b
,,,,,,,,,Kepler-140 c
,,,,,,,,,Kepler-1410 b
,,,,,,,,,Kepler-1411 b
,,,,,,,,,Kepler-1412 b
,,,,,,,,,Kepler-1413 b
,,,,,,,,,Kepler-1414 b
,,,,,,,,,Kepler-1415 b
,,,,,,,,,Kepler-1416 b
,,,,,,,,,Kepler-1417 b
,,,,,,,,,Kepler-1418 b
,,,,,,,,,Kepler-1419 b
,,,,,,,,,Kepler-141 b
,,,,,,,,,Kepler-141 c
,,,,,,,,,Kepler-1420 b
,,,,,,,,,Kepler-1421 b
,,,,,,,,,Kepler-1422 b
,,,,,,,,,Kepler-1423 b
,,,,,,,,,Kepler-1424 b
,,,,,,,,,Kepler-1425 b
,,,,,,,,,Kepler-1426 b
,,,,,,,,,Kepler-1427 b
,,,,,,,,,Kepler-1428 b
,,,,,,,,,Kepler-1429 b
,,,,,,,,,Kepler-142 b
,,,,,,,,,Kepler-142 c
,,,,,,,,,Kepler-142 d
,,,,,,,,,Kepler-1430 b
,,,,,,,,,Kepler-1431 b
,,,,,,,,,Kepler-1432 b
,,,,,,,,,Kepler-1433 b
,,,,,,,,,Kepler-1434 b
,,,,,,,,,Kepler-1435 b
,,,,,,,,,Kepler-1436 b
,,,,,,,,,Kepler-1437 b
,,,,,,,,,Kepler-1438 b
,,,,,,,,,Kepler-1439 b
,,,,,,,,,Kepler-143 b
,,,,,,,,,Kepler-143 c
,,,,,,,,,Kepler-1440 b
,,,,,,,,,Kepler-1441 b
,,,,,,,,,Kepler-1442 b
,,,,,,,,,Kepler-1443 b
,,,,,,,,,Kepler-1444 b
,,,,,,,,,Kepler-1445 b
,,,,,,,,,Kepler-1446 b
,,,,,,,,,Kepler-1447 b
,,,,,,,,,Kepler-1448 b
,,,,,,,,,Kepler-1449 b
,,,,,,,,,Kepler-144 b
,,,,,,,,,Kepler-144 c
,,,,,,,,,Kepler-1450 b
,,,,,,,,,Kepler-1451 b
,,,,,,,,,Kepler-1452 b
,,,,,,,,,Kepler-1453 b
,,,,,,,,,Kepler-1454 b
,,,,,,,,,Kepler-1455 b
,,,,,,,,,Kepler-1456 b
,,,,,,,,,Kepler-1457 b
,,,,,,,,,Kepler-1458 b
,,,,,,,,,Kepler-1459 b
,,,,,,,,,Kepler-145 b
,,,,,,,,,Kepler-145 c
,,,,,,,,,Kepler-1460 b
,,,,,,,,,Kepler-1461 b
,,,,,,,,,Kepler-1462 b
,,,,,,,,,Kepler-1463 b
,,,,,,,,,Kepler-1464 b
,,,,,,,,,Kepler-1464 c
,,,,,,,,,Kepler-1465 b
,,,,,,,,,Kepler-1466 b
,,,,,,,,,Kepler-1467 b
,,,,,,,,,Kepler-1468 b
,,,,,,,,,Kepler-1468 c
,,,,,,,,,Kepler-1469 b
,,,,,,,,,Kepler-146 b
,,,,,,,,,Kepler-146 c
,,,,,,,,,Kepler-1470 b
,,,,,,,,,Kepler-1471 b
,,,,,,,,,Kepler-1472 b
,,,,,,,,,Kepler-1473 b
,,,,,,,,,Kepler-1474 b
,,,,,,,,,Kepler-1475 b
,,,,,,,,,Kepler-1476 b
,,,,,,,,,Kepler-1477 b
,,,,,,,,,Kepler-1478 b
,,,,,,,,,Kepler-1479 b
,,,,,,,,,Kepler-147 b
,,,,,,,,,Kepler-147 c
,,,,,,,,,Kepler-1480 b
,,,,,,,,,Kepler-1481 b
,,,,,,,,,Kepler-1482 b
,,,,,,,,,Kepler-1483 b
,,,,,,,,,Kepler-1484 b
,,,,,,,,,Kepler-1485 b
,,,,,,,,,Kepler-1486 b
,,,,,,,,,Kepler-1487 b
,,,,,,,,,Kepler-1488 b
,,,,,,,,,Kepler-1489 b
,,,,,,,,,Kepler-148 b
,,,,,,,,,Kepler-148 c
,,,,,,,,,Kepler-148 d
,,,,,,,,,Kepler-1490 b
,,,,,,,,,Kepler-1491 b
,,,,,,,,,Kepler-1492 b
,,,,,,,,,Kepler-1493 b
,,,,,,,,,Kepler-1494 b
,,,,,,,,,Kepler-1495 b
,,,,,,,,,Kepler-1496 b
,,,,,,,,,Kepler-1497 b
,,,,,,,,,Kepler-1498 b
,,,,,,,,,Kepler-1499 b
,,,,,,,,,Kepler-149 b
,,,,,,,,,Kepler-149 c
,,,,,,,,,Kepler-149 d
,,,,,,,,,Kepler-14 b
,,,,,,,,,Kepler-1500 b
,,,,,,,,,Kepler-1501 b
,,,,,,,,,Kepler-1502 b
,,,,,,,,,Kepler-1503 b
,,,,,,,,,Kepler-1504 b
,,,,,,,,,Kepler-1505 b
,,,,,,,,,Kepler-1506 b
,,,,,,,,,Kepler-1507 b
,,,,,,,,,Kepler-1508 b
,,,,,,,,,Kepler-1509 b
,,,,,,,,,Kepler-150 b
,,,,,,,,,Kepler-150 c
,,,,,,,,,Kepler-150 d
,,,,,,,,,Kepler-150 e
,,,,,,,,,Kepler-150 f
,,,,,,,,,Kepler-1510 b
,,,,,,,,,Kepler-1511 b
,,,,,,,,,Kepler-1512 b
,,,,,,,,,Kepler-1513 b
,,,,,,,,,Kepler-1514 b
,,,,,,,,,Kepler-1514 c
,,,,,,,,,Kepler-1515 b
,,,,,,,,,Kepler-1516 b
,,,,,,,,,Kepler-1517 b
,,,,,,,,,Kepler-1518 b
,,,,,,,,,Kepler-1519 b
,,,,,,,,,Kepler-151 b
,,,,,,,,,Kepler-151 c
,,,,,,,,,Kepler-1520 b
,,,,,,,,,Kepler-1521 b
,,,,,,,,,Kepler-1522 b
,,,,,,,,,Kepler-1523 b
,,,,,,,,,Kepler-1524 b
,,,,,,,,,Kepler-1525 b
,,,,,,,,,Kepler-1526 b
,,,,,,,,,Kepler-1527 b
,,,,,,,,,Kepler-1528 b
,,,,,,,,,Kepler-1529 b
,,,,,,,,,Kepler-152 b
,,,,,,,,,Kepler-152 c
,,,,,,,,,Kepler-1530 b
,,,,,,,,,Kepler-1530 c
,,,,,,,,,Kepler-1531 b
,,,,,,,,,Kepler-1532 b
,,,,,,,,,Kepler-1533 b
,,,,,,,,,Kepler-1534 b
,,,,,,,,,Kepler-1535 b
,,,,,,,,,Kepler-1536 b
,,,,,,,,,Kepler-1537 b
,,,,,,,,,Kepler-1538 b
,,,,,,,,,Kepler-1539 b
